Leaked composite object at 0x561f47dc5ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x561f47dc6ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x561f47dc6f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x561f47dc6f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x561f47dc5f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x561f47dc5f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x561f47dc5f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x561f47dc5fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x561f47dc5fe0 (tests/leak_test.c:12, sz=4, NORMAL)

