Leaked composite object at 0x1079fafe0 (tests/leak_test.c:12, sz=4, NORMAL)

Leaked composite object at 0x1079fafe0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x1079fbee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x1079fbf20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x1079fbf60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x1079fbfa0 (tests/leak_test.c:19, sz=12, NORMAL)

Leaked composite object at 0x1079faf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x1079faf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x1079faf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x1079fafb0 (tests/leak_test.c:19, sz=7, NORMAL)

